ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
637529,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",,non_canonical_customer_no_title_brand,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-08-13 04:45:00,[Unis][bitland][TianJian-Lake][I5-11400][Intel®  Wireless-AC 9462][ Intel®  Wi-Fi 6 AX201 160MHz][20H2][100% F/R 7/7]External Intel network card blue screen
637529,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",,non_canonical_customer_no_title_brand,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-08-13 04:45:00,[Unis][bitland][TianJian-Lake][I5-11400][Intel®  Wireless-AC 9462][ Intel®  Wi-Fi 6 AX201 160MHz][20H2][100% F/R 7/7]External Intel network card blue screen
635281,FAYTECH AG,,non_canonical_customer_no_title_brand,NA,Faytech AG,2021-08-04 18:27:00,Needs DRTU software of AC3168NGW
635281,FAYTECH AG,,non_canonical_customer_no_title_brand,NA,Faytech AG,2021-08-04 18:27:00,Needs DRTU software of AC3168NGW
635281,FAYTECH AG,,non_canonical_customer_no_title_brand,NA,Faytech AG,2021-08-04 18:27:00,Needs DRTU software of AC3168NGW
634592,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",,non_canonical_customer_no_title_brand,NA,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",2021-08-02 22:45:00,Customer want to customize Bluetooth manufacture name and LMP Subversion
634592,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",,non_canonical_customer_no_title_brand,NA,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",2021-08-02 22:45:00,Customer want to customize Bluetooth manufacture name and LMP Subversion
634592,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",,non_canonical_customer_no_title_brand,NA,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",2021-08-02 22:45:00,Customer want to customize Bluetooth manufacture name and LMP Subversion
631963,WISTRON CORPORATION,,non_canonical_customer_no_title_brand,WISTRON CORPORATION,WISTRON CORPORATION,2021-07-22 05:33:00,Wistorn Odin NV16H DRTU_642688_ Wifi can not enable in the Win11
629690,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",,non_canonical_customer_no_title_brand,NA,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",2021-07-14 01:50:00,[EMDOOR][GLK][AC9461]BT BQB profile test: AVRCP TG--MPS test fail
629690,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",,non_canonical_customer_no_title_brand,NA,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",2021-07-14 01:50:00,[EMDOOR][GLK][AC9461]BT BQB profile test: AVRCP TG--MPS test fail
629690,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",,non_canonical_customer_no_title_brand,NA,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",2021-07-14 01:50:00,[EMDOOR][GLK][AC9461]BT BQB profile test: AVRCP TG--MPS test fail
628884,QUANTA COMPUTER INC.,,non_canonical_customer_no_title_brand,NA,QUANTA COMPUTER INC.,2021-07-11 21:23:00,MSFT ODM Quanta Z93 HrP2 AX201 22.60.0.6 DRTU remote fialed for BLE
628884,QUANTA COMPUTER INC.,,non_canonical_customer_no_title_brand,NA,QUANTA COMPUTER INC.,2021-07-11 21:23:00,MSFT ODM Quanta Z93 HrP2 AX201 22.60.0.6 DRTU remote fialed for BLE
628884,QUANTA COMPUTER INC.,,non_canonical_customer_no_title_brand,NA,QUANTA COMPUTER INC.,2021-07-11 21:23:00,MSFT ODM Quanta Z93 HrP2 AX201 22.60.0.6 DRTU remote fialed for BLE
628815,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-07-11 03:42:00,[B1400/B1500CEAE X435EA][TGL][AX201.D2WG.NVW 999TDN][22.40.0.7]Intel AX201??????????
628815,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-07-11 03:42:00,[B1400/B1500CEAE X435EA][TGL][AX201.D2WG.NVW 999TDN][22.40.0.7]Intel AX201??????????
628815,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-07-11 03:42:00,[B1400/B1500CEAE X435EA][TGL][AX201.D2WG.NVW 999TDN][22.40.0.7]Intel AX201??????????
628162,GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,,non_canonical_customer_no_title_brand,NA,GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,2021-07-07 20:54:00,???GC??PC???GO?????????10??????
628162,GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,,non_canonical_customer_no_title_brand,NA,GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,2021-07-07 20:54:00,???GC??PC???GO?????????10??????
628162,GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,,non_canonical_customer_no_title_brand,NA,GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,2021-07-07 20:54:00,???GC??PC???GO?????????10??????
627952,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-07-07 02:39:00,[Intel NUC Wall Street Canyon/Pegatron/ADL-P]system cannot wake from Modern Standby by magic packet with AX200 wifi card
627952,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-07-07 02:39:00,[Intel NUC Wall Street Canyon/Pegatron/ADL-P]system cannot wake from Modern Standby by magic packet with AX200 wifi card
627952,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-07-07 02:39:00,[Intel NUC Wall Street Canyon/Pegatron/ADL-P]system cannot wake from Modern Standby by magic packet with AX200 wifi card
627586,DYNABOOK INC.,,non_canonical_customer_no_title_brand,NA,Dynabook Inc.,2021-07-06 03:47:00,[Dynabook] [Win10] Unable to search for WLAN APs after reboot machine with HrP2 2nd source Unit when testing AMT function
