ips_case_number,customer,ips_customer_name,ips_oem,ips_owner_name,ips_title,ips_created_date,jira_id
659219,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.","MICRO-STAR INTERNATIONAL CO., LTD.",Brandon Yang,BSOD 0x117 VIDEO_TDR_TIMEOUT_DETECTED occurred when running 3DMARK,2021-11-08 19:41:00,NA
659037,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,"[Samsung][Titan2-M][PV1]The units show BSOD(0x21) during running OQC(S4).(FR:1 out of 30 units,1 out of 30 times)",2021-11-08 02:23:00,NA
659037,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,"[Samsung][Titan2-M][PV1]The units show BSOD(0x21) during running OQC(S4).(FR:1 out of 30 units,1 out of 30 times)",2021-11-08 02:23:00,NA
659037,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,"[Samsung][Titan2-M][PV1]The units show BSOD(0x21) during running OQC(S4).(FR:1 out of 30 units,1 out of 30 times)",2021-11-08 02:23:00,NA
658995,WISTRON CORPORATION,NA,WISTRON CORPORATION,Franky Yang,[Dell][Wistron][ADL-P][StradaleMLK2][HLK] System - Sleep with IO Before and After (Reliability SysFund) found error with AX211,2021-11-08 00:47:00,NA
658995,WISTRON CORPORATION,NA,WISTRON CORPORATION,Franky Yang,[Dell][Wistron][ADL-P][StradaleMLK2][HLK] System - Sleep with IO Before and After (Reliability SysFund) found error with AX211,2021-11-08 00:47:00,NA
658995,WISTRON CORPORATION,NA,WISTRON CORPORATION,Franky Yang,[Dell][Wistron][ADL-P][StradaleMLK2][HLK] System - Sleep with IO Before and After (Reliability SysFund) found error with AX211,2021-11-08 00:47:00,NA
658576,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Franky Yang,"[Dell/Compal][ADL-P] Excute ""Remotecontrol.exe -getpower"" will show error message",2021-11-04 23:56:00,NA
658576,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Franky Yang,"[Dell/Compal][ADL-P] Excute ""Remotecontrol.exe -getpower"" will show error message",2021-11-04 23:56:00,NA
658576,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Franky Yang,"[Dell/Compal][ADL-P] Excute ""Remotecontrol.exe -getpower"" will show error message",2021-11-04 23:56:00,NA
658469,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Zhiwei He,[HUAWEI][HUAQIN][EmmyD][Intel TGL][WIN10][AX201][WIFI] Connect to AP and idle system about 20~30mins. The network is unavailable during use and check wifi deiver on DM. Found that wifi device shwo YB Code: 43,2021-11-04 20:21:00,NA
658469,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Zhiwei He,[HUAWEI][HUAQIN][EmmyD][Intel TGL][WIN10][AX201][WIFI] Connect to AP and idle system about 20~30mins. The network is unavailable during use and check wifi deiver on DM. Found that wifi device shwo YB Code: 43,2021-11-04 20:21:00,NA
658469,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Zhiwei He,[HUAWEI][HUAQIN][EmmyD][Intel TGL][WIN10][AX201][WIFI] Connect to AP and idle system about 20~30mins. The network is unavailable during use and check wifi deiver on DM. Found that wifi device shwo YB Code: 43,2021-11-04 20:21:00,NA
658445,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.","MICRO-STAR INTERNATIONAL CO., LTD.",Brandon Yang,"[MS-1584/17L4/15B1] Connect with HDMI, The Screen will automatically cut to the previous mode from PC Screen Only",2021-11-04 19:42:00,NA
