ips_case_number,ips_owner_name,reporter,ips_created_date,ips_oem,jira_id,ips_jira_id,ips_title
665641,Zhiwei He,NA,2021-12-02 23:28:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIN11][WIFI] DUT auto disconnect wifi in Company Intranet environment.
666238,Zhiwei He,NA,2021-12-06 18:24:00,"Huaqin Technology Co., Ltd",,NA,"[REALME][HUAQIN][NB6156A][Intel TGL][Intel AC 9560][WIFI][Win11]Wifi occur yellow band(43) when run iperf.exe or play on line video, for example aiqiyi."
666238,Zhiwei He,NA,2021-12-06 18:24:00,"Huaqin Technology Co., Ltd",,NA,"[REALME][HUAQIN][NB6156A][Intel TGL][Intel AC 9560][WIFI][Win11]Wifi occur yellow band(43) when run iperf.exe or play on line video, for example aiqiyi."
666238,Zhiwei He,NA,2021-12-06 18:24:00,"Huaqin Technology Co., Ltd",,NA,"[REALME][HUAQIN][NB6156A][Intel TGL][Intel AC 9560][WIFI][Win11]Wifi occur yellow band(43) when run iperf.exe or play on line video, for example aiqiyi."
669392,Zhiwei He,NA,2021-12-16 22:31:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][TGL][AX201][WIN11][WIFI] The system automatically disconnects from the network
669392,Zhiwei He,NA,2021-12-16 22:31:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][TGL][AX201][WIN11][WIFI] The system automatically disconnects from the network
669392,Zhiwei He,NA,2021-12-16 22:31:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][TGL][AX201][WIN11][WIFI] The system automatically disconnects from the network
673668,Zhiwei He,NA,2022-01-06 21:57:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][MorganF][NB3757B][Intel ADL][Intel AX211][WIFI][Win11] Empty list when change Country code via to ant.exe wait for two hours.
673668,Zhiwei He,NA,2022-01-06 21:57:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][MorganF][NB3757B][Intel ADL][Intel AX211][WIFI][Win11] Empty list when change Country code via to ant.exe wait for two hours.
673668,Zhiwei He,NA,2022-01-06 21:57:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][MorganF][NB3757B][Intel ADL][Intel AX211][WIFI][Win11] Empty list when change Country code via to ant.exe wait for two hours.
674051,Zhiwei He,NA,2022-01-10 01:18:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Realme][Wingtech][Intel Tiger Lake UP4][Ac9560][21H1] [WIFI] Cannot open the 5G hotspot
674051,Zhiwei He,NA,2022-01-10 01:18:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Realme][Wingtech][Intel Tiger Lake UP4][Ac9560][21H1] [WIFI] Cannot open the 5G hotspot
674051,Zhiwei He,NA,2022-01-10 01:18:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Realme][Wingtech][Intel Tiger Lake UP4][Ac9560][21H1] [WIFI] Cannot open the 5G hotspot
676948,Zhiwei He,NA,2022-01-19 01:52:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][H9HD][HookF][AX211][21H2][WLAN][BUG-20220119-42099] Repeated automatic reconnection failure under 2.4G weak signal
676948,Zhiwei He,NA,2022-01-19 01:52:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][H9HD][HookF][AX211][21H2][WLAN][BUG-20220119-42099] Repeated automatic reconnection failure under 2.4G weak signal
676948,Zhiwei He,NA,2022-01-19 01:52:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][H9HD][HookF][AX211][21H2][WLAN][BUG-20220119-42099] Repeated automatic reconnection failure under 2.4G weak signal
677734,Zhiwei He,NA,2022-01-20 21:42:00,QUANTA COMPUTER INC.,,NA,"[Huawei][Quanta][H99E][NobelF][AX201][21H2][WLAN] [AX201][BUG-20220120-42249]When the test machine and the auxiliary machine perform wireless screen projection and play local video for a long time, the local video will be disconnected"
677734,Zhiwei He,NA,2022-01-20 21:42:00,QUANTA COMPUTER INC.,,NA,"[Huawei][Quanta][H99E][NobelF][AX201][21H2][WLAN] [AX201][BUG-20220120-42249]When the test machine and the auxiliary machine perform wireless screen projection and play local video for a long time, the local video will be disconnected"
677734,Zhiwei He,NA,2022-01-20 21:42:00,QUANTA COMPUTER INC.,,NA,"[Huawei][Quanta][H99E][NobelF][AX201][21H2][WLAN] [AX201][BUG-20220120-42249]When the test machine and the auxiliary machine perform wireless screen projection and play local video for a long time, the local video will be disconnected"
682122,Zhiwei He,NA,2022-02-10 00:11:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][KelvinF][Intel ADL][Intel AX 201][WIFI][Win11]DUT BSOD 0x14F occurred during running S3 stress.
682122,Zhiwei He,NA,2022-02-10 00:11:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][KelvinF][Intel ADL][Intel AX 201][WIFI][Win11]DUT BSOD 0x14F occurred during running S3 stress.
682122,Zhiwei He,NA,2022-02-10 00:11:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][KelvinF][Intel ADL][Intel AX 201][WIFI][Win11]DUT BSOD 0x14F occurred during running S3 stress.
682561,Zhiwei He,NA,2022-02-11 05:55:00,"Huaqin Technology Co., Ltd",,NA,"[HUAWEI][HUAQIN][KelvinF][Intel ADL][Intel AX 201][WIFI]Running Moderm standby stress appear ""Microsoft Wi-Fi Direct Virtual Adapter #2"" yellow bang"
682561,Zhiwei He,NA,2022-02-11 05:55:00,"Huaqin Technology Co., Ltd",,NA,"[HUAWEI][HUAQIN][KelvinF][Intel ADL][Intel AX 201][WIFI]Running Moderm standby stress appear ""Microsoft Wi-Fi Direct Virtual Adapter #2"" yellow bang"
