ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
627509,"COMPAL ELECTRONICS, INC.",HP|LENOVO,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-06 01:47:00,[Lenovo-AIO][Comapl][A360][TGL-U][9560_AX201][Win11][100%]The BT throughput cannot meet spec(>=1.0 Mbps)
627509,"COMPAL ELECTRONICS, INC.",HP|LENOVO,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-06 01:47:00,[Lenovo-AIO][Comapl][A360][TGL-U][9560_AX201][Win11][100%]The BT throughput cannot meet spec(>=1.0 Mbps)
627509,"COMPAL ELECTRONICS, INC.",HP|LENOVO,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-06 01:47:00,[Lenovo-AIO][Comapl][A360][TGL-U][9560_AX201][Win11][100%]The BT throughput cannot meet spec(>=1.0 Mbps)
626903,WISTRON CORPORATION,LENOVO,title_brand_mismatch,NA,WISTRON CORPORATION,2021-07-02 03:55:00,[Lenovo ThinkPad China][LCFC][Ares2 AMD CZN][AX200]Module power can't meet BIOS SAR table
626903,WISTRON CORPORATION,LENOVO,title_brand_mismatch,NA,WISTRON CORPORATION,2021-07-02 03:55:00,[Lenovo ThinkPad China][LCFC][Ares2 AMD CZN][AX200]Module power can't meet BIOS SAR table
626903,WISTRON CORPORATION,LENOVO,title_brand_mismatch,NA,WISTRON CORPORATION,2021-07-02 03:55:00,[Lenovo ThinkPad China][LCFC][Ares2 AMD CZN][AX200]Module power can't meet BIOS SAR table
626761,WISTRON CORPORATION,DELL,title_brand_mismatch,NA,WISTRON CORPORATION,2021-07-01 19:54:00,[Dell][Wistron][ADL-P][StradaleMLK2] AX211 shows YB after installing 22.65.0.1 WLAN driver
626761,WISTRON CORPORATION,DELL,title_brand_mismatch,NA,WISTRON CORPORATION,2021-07-01 19:54:00,[Dell][Wistron][ADL-P][StradaleMLK2] AX211 shows YB after installing 22.65.0.1 WLAN driver
626761,WISTRON CORPORATION,DELL,title_brand_mismatch,NA,WISTRON CORPORATION,2021-07-01 19:54:00,[Dell][Wistron][ADL-P][StradaleMLK2] AX211 shows YB after installing 22.65.0.1 WLAN driver
625964,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-29 05:21:00,[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI]WiFi driver lost due to side drop
625964,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-29 05:21:00,[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI]WiFi driver lost due to side drop
625964,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-29 05:21:00,[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI]WiFi driver lost due to side drop
625423,DELL,NEC,title_brand_mismatch,NA,DELL U S A CORPORATION,2021-06-27 23:46:00,WiFi disconnecting on 802.11r (fast roaming) networks (Meraki)
625423,DELL,NEC,title_brand_mismatch,NA,DELL U S A CORPORATION,2021-06-27 23:46:00,WiFi disconnecting on 802.11r (fast roaming) networks (Meraki)
625423,DELL,NEC,title_brand_mismatch,NA,DELL U S A CORPORATION,2021-06-27 23:46:00,WiFi disconnecting on 802.11r (fast roaming) networks (Meraki)
625290,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-26 04:57:00,[HONOR][HUAQIN][HalleyM][AMD Cezanne-H][Intel AX200][21H1][WIFI/BT]The device manager inside WIFI driver yellow label and Bluetooth driver lost in the vibration test
625290,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-26 04:57:00,[HONOR][HUAQIN][HalleyM][AMD Cezanne-H][Intel AX200][21H1][WIFI/BT]The device manager inside WIFI driver yellow label and Bluetooth driver lost in the vibration test
625290,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-26 04:57:00,[HONOR][HUAQIN][HalleyM][AMD Cezanne-H][Intel AX200][21H1][WIFI/BT]The device manager inside WIFI driver yellow label and Bluetooth driver lost in the vibration test
625084,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",XIAOMI,title_brand_mismatch,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-06-25 00:15:00,[Xiaomi][Bitland][A7S][AMD APU Ryzen][AX200NGWG 2x2][21H1][1/40] Running ms test ouccurs BOSD
625084,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",XIAOMI,title_brand_mismatch,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-06-25 00:15:00,[Xiaomi][Bitland][A7S][AMD APU Ryzen][AX200NGWG 2x2][21H1][1/40] Running ms test ouccurs BOSD
625084,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",XIAOMI,title_brand_mismatch,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-06-25 00:15:00,[Xiaomi][Bitland][A7S][AMD APU Ryzen][AX200NGWG 2x2][21H1][1/40] Running ms test ouccurs BOSD
