Issue key,project,year,category,Summary,Custom field (Root Cause)
WIFI-768995,WIFI,2025,Connectivity,[Samsung][LNL][BE201][P250905-06167] no MLO connection as associating with Asus RT-BE92u,"MLD IE should not be inherited...

As we search for IEs to inherit from MBSS IEs, we keep the offset to the relevant IE.

So we go through the first MBSS IE, to the relevant profile, and saved the offset to MLD IE.

But we then proceed to the second MBSS IE,  wrongly zero the previous offset (as MLD is ""non inherited""), don't find the MLD IE in the MBSS IE and thus we don't copy it at all."
WIFI-768436,WIFI,2025,BSOD,[Dell][Huracan/Performanate][PTL][WhP] BT shows YB with code 31 due to WiFi Assert 0x2010121e,Need to adjust the calibration point parameters to avoid signal compression in case of high VSWR in low band
WIFI-762233,WIFI,2025,Connectivity,[Dell][MTL/GaP+GfP][RGA] Persistent Wi-Fi roaming and disconnection problems affecting Dell laptops with Intel BE200 and AX211 adapters,"Channel load impact is too high, causing too many roamings in customer's environment.
"
WIFI-760886,WIFI,2025,BSOD,[Dell][Wistron][Ghostrider14/16 PTL]BE211 WIFI YB after system idle for a while assert 0x20100505,SW will set by default CNViO3 frequency to 9.6 GHz
WIFI-759476,WIFI,2025,BSOD,[Lenovo-Ideapad][YOGA9P 16][PTL][25H2]WIFI YB(0x508 & 4009) when idle. (Fail Rate: 6/220 units),"Root Cause:  TOP-15910
The logic controlling the fatal/non-fatal behavior is governed by the register CNVR_IRI_STEP_PRIM_CSR_PHY_INT_MASK.
When this register is set to its default value of 0x0, all interrupt sources are treated as fatal.
As a result, Assert 508 is observed in Data 1: cnvr_step_csr_phy_interrupt_status."
WIFI-758619,WIFI,2025,Performance,[Dell][PTL][WhP_B0] BE211 RX TPT is worse than BE201 in Wi-Fi 6E 80MHz or 160MHz when connected to ASUS GT-AXE11000(3.0.0.4.386.42489),"we open DSMPS by default in assoc request on 6G (unlike 5G), 
so we got into situation where FW which is resposible to open and close DSMPS (since the RLC offload) wasn't sync that we are in DSMPS Mode.
"
WIFI-755355,WIFI,2025,BSOD,[HP/MachuN][IEC][LNL/Fmp2/24H2] Intel BT PCI Enumerator show YB after Force Shutdown (long press power key 10 sec) with enable AMT (PP2/LP3) in AC mode,"WiAMT loads its WiFi FW very early (before BIOS runs),
WiFi FW runs FSEQ. As part of FSEQ it sets FINE locks (in particular AUX_HW_LOCK_2)
There is a logic in the top that prevent HW to write to registers when AUX_HW_LOCK_2 is set and relevant func_state is LOW
Relevant logic preventing BT OTP Reader (usee BT UMAC master) writing to Aux while BT func_state is LOW:
bt_umac_aux_connect_we_func_lock    = (~scu_aux_hw_lock_2 || bt_scu_func_state) && bt_umac_aux_connect_we;
When BIOS switches BT I/F to IOSF, BT HW kicks BT OTP Reader
OTP Reader tries writing to Aux register to enable OTP, but fails due to the early lock (BT func_state is LOW on this HW stage)
All next reads from OTP are failed since OTP is not enabled
BT config space remains with default values. In specific Sub_System_ID = 0x0000
OS doesn't load BT driver due to Sub_System_ID missmatch

solution: TOP-14807: Don't set AUX_HW_LOCK_2."
WIFI-755323,WIFI,2025,BSOD,[DELL][Wistron][Huracan/Performanate][PTL][WhP] DRTU 2.4GHz testing 100% on 4/11 DUT not work with 23.165 assert 0x2010121E,Need to adjust the calibration point parameters to avoid signal compression in case of high VSWR in low band
WIFI-753874,WIFI,2025,YB/Lost,[Dell][Compal][RNG][PTL][WhP2]BE211 BT YB issue is suspected to be caused by Wi-Fi x121E assertion.,PHY: Attempt to calibrate LB channels using directional loopback in case of multiple failures
WIFI-750602,WIFI,2025,Connectivity,[Lenovo][Kailash][PTL/BE211][25H2]wifi suddenly cannot search any HB AP until radio off/on manually,same as WIFI-751329
WIFI-750032,WIFI,2025,Connectivity,[Samsung][PTL][WhP][GB6 pro][wifi sensing]DUT wakes up intermittently without any human detection,typo in formula
WIFI-746160,WIFI,2025,Connectivity,"[Lenovo ldeaPad/Consumer][LCFC][ARL-HX][BE200][Legion Pro 7 16IAX10H]Intel BE200 WLAN units do not display Wi-Fi7 mode after AP switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)","Due to AP misbehavior of reporting Wifi7 IEs while being set as Wifi6 mode, we marked it as misbehaving and connected in HE mode.
"
WIFI-742498,WIFI,2025,BSOD,"[Lenovo_IdeaPad][WenchangⅡ][LCFC][LNL][SIT][25H2][BE201][0x20100505]Intel Wi-Fi 7 BE201 show yellow bang when resume from MS.(F/R:1/2 units,2/40 cycles)","One of the CNVI HSIF timeout timers was not configured correctly to support worst case Channel/Package propagation time.
"
WIFI-741414,WIFI,2025,Connectivity,[DELL][PistaARL] GNNR may fail with error code 258,"not an actual driver bug, but a bypass given by us.
Due to SMPS we sometimes don't have any energy on ANT B.
This feature causes some tests in GNNR to fail, so an OID can be used to turn SMPS mode."
WIFI-740892,WIFI,2025,Connectivity,"[HP][LNL][WiFi Sensing]  After setting SPD yoyo file , the SPD detection cycle changed from 1 ->2 ","DCR-3341
"
WIFI-739243,WIFI,2025,BSOD,[Lenovo][LCFC][Daisy][ARL][FmP][0x20100505] BE201 YB  after S0i3 at 0 degree C Test ,"The CNVio3 interface transitions from full power to low power and back might cause PHY errors, mainly in low temp, triggering Assert 0x505
Fix:
Eliminate transitions of CNVio3 to low power during S0i3 (included in FSEQ 0.0.4.201)"
WIFI-739113,WIFI,2025,BSOD,[Lenovo][Huaqin][PTL][BE213][S511_14_16][0x21100505]WLAN YB & BT lost (auto recover several times but finally YB) when idle or playing online video. (FR:4/12UUTs),"SW will set by default CNViO3 frequency to 9.6 GHz
Assert 0x505 is treated as non-fatal"
WIFI-736954,WIFI,2025,BSOD,[HP][Quanta]-[Trekker][PTL-H][Win11 25H2] [0x21100505]Wlan and BT lost from quick setting about 1s then auto recover during playing local video with BT headphone and BT mouse connected.(Intel BE211),SW will set by default CNViO3 frequency to 9.6 GHz
WIFI-730512,WIFI,2025,Connectivity,[Samsung][MTL][GfP2][P250708-05271] System can't found 6Ghz mobile hotspot.,"with LPI enabled , if mcc change happens from vlp enabled country to disabled , FW as not able to turn off vlp"
WIFI-724493,WIFI,2025,Connectivity,[HP][LNL][OB5][WiFi Sensing] SPD fail when another user walked pass behind main user,DCR-3341
WIFI-723912,WIFI,2025,Connectivity,[Lenovo][Field][Thinkpad JP][T14 GEN5][MTL][AX211]--Intel AX211 WiFi hit to Limited Network Connection after driver Ver 23.110/23.130/23.150,Update of statistics datapoint ccaDefers
WIFI-719076,WIFI,2025,BSOD,[Dell][Compal][Pista ARL] BE201 WLAN YB on factory with assert 0x505 while booting up to OS,"One of the CNVI HSIF timeout timers was not configured correctly to support worst case Channel/Package propagation time.
"
WIFI-718655,WIFI,2025,Connectivity,[Honor][LuxsharePC][ZhuqueC][PTL][24H2 ]The certificate of PIE install file is expired.,Wrong PIE recommendation for 23.165.
