Issue key,Technology,Model Category,Category Confidence,Root Cause,Root Cause Theme
WIFI-768436,WIFI,YB/Lost,0.21578366830506449,Need to adjust the calibration point parameters to avoid signal compression in case of high VSWR in low band,Firmware Config / Parameter / Tuning
WIFI-762233,WIFI,Connectivity,0.99,"Channel load impact is too high, causing too many roamings in customer's environment.
",State Machine / Flow Handling
WIFI-760886,WIFI,YB/Lost,0.1718512754656422,SW will set by default CNViO3 frequency to 9.6 GHz,Insufficient Root-Cause Detail
WIFI-759476,WIFI,Connectivity,0.1450784952425396,"Root Cause:  TOP-15910
The logic controlling the fatal/non-fatal behavior is governed by the register CNVR_IRI_STEP_PRIM_CSR_PHY_INT_MASK.
When this register is set to its default value of 0x0, all interrupt sources are treated as fatal.
As a result, Assert 508 is observed in Data 1: cnvr_step_csr_phy_interrupt_status.",Race / Timing / Interrupt Ordering
WIFI-758619,WIFI,Performance,0.15756325593282552,"we open DSMPS by default in assoc request on 6G (unlike 5G), 
so we got into situation where FW which is resposible to open and close DSMPS (since the RLC offload) wasn't sync that we are in DSMPS Mode.
",Firmware Config / Parameter / Tuning
WIFI-755355,WIFI,YB/Lost,0.15200083975169712,"WiAMT loads its WiFi FW very early (before BIOS runs),
WiFi FW runs FSEQ. As part of FSEQ it sets FINE locks (in particular AUX_HW_LOCK_2)
There is a logic in the top that prevent HW to write to registers when AUX_HW_LOCK_2 is set and relevant func_state is LOW
Relevant logic preventing BT OTP Reader (usee BT UMAC master) writing to Aux while BT func_state is LOW:
bt_umac_aux_connect_we_func_lock    = (~scu_aux_hw_lock_2 || bt_scu_func_state) && bt_umac_aux_connect_we;
When BIOS switches BT I/F to IOSF, BT HW kicks BT OTP Reader
OTP Reader tries writing to Aux register to enable OTP, but fails due to the early lock (BT func_state is LOW on this HW stage)
All next reads from OTP are failed since OTP is not enabled
BT config space remains with default values. In specific Sub_System_ID = 0x0000
OS doesn't load BT driver due to Sub_System_ID missmatch

solution: TOP-14807: Don't set AUX_HW_LOCK_2.",Firmware Config / Parameter / Tuning
WIFI-755323,WIFI,Connectivity,0.16565264616698902,Need to adjust the calibration point parameters to avoid signal compression in case of high VSWR in low band,Firmware Config / Parameter / Tuning
WIFI-753874,WIFI,Connectivity,0.17615980895620828,PHY: Attempt to calibrate LB channels using directional loopback in case of multiple failures,RF / Coexistence / Channel Behavior
WIFI-750602,WIFI,Connectivity,0.21568945437953116,same as WIFI-751329,Insufficient Root-Cause Detail
WIFI-750032,WIFI,Connectivity,0.1750380366657576,typo in formula,Insufficient Root-Cause Detail
WIFI-746160,WIFI,Connectivity,0.17338498799195348,"Due to AP misbehavior of reporting Wifi7 IEs while being set as Wifi6 mode, we marked it as misbehaving and connected in HE mode.
",Insufficient Root-Cause Detail
WIFI-742498,WIFI,YB/Lost,0.99,"One of the CNVI HSIF timeout timers was not configured correctly to support worst case Channel/Package propagation time.
",Firmware Config / Parameter / Tuning
WIFI-741414,WIFI,Connectivity,0.16396169813217898,"not an actual driver bug, but a bypass given by us.
Due to SMPS we sometimes don't have any energy on ANT B.
This feature causes some tests in GNNR to fail, so an OID can be used to turn SMPS mode.",Driver-OS Interface / API / OID
WIFI-740892,WIFI,Connectivity,0.4213646182384277,"DCR-3341
",Insufficient Root-Cause Detail
WIFI-739243,WIFI,YB/Lost,0.12529334782814913,"The CNVio3 interface transitions from full power to low power and back might cause PHY errors, mainly in low temp, triggering Assert 0x505
Fix:
Eliminate transitions of CNVio3 to low power during S0i3 (included in FSEQ 0.0.4.201)",Driver-OS Interface / API / OID
WIFI-739113,WIFI,YB/Lost,0.27266001678417806,"SW will set by default CNViO3 frequency to 9.6 GHz
Assert 0x505 is treated as non-fatal",Insufficient Root-Cause Detail
WIFI-736954,WIFI,Connectivity,0.17532620076524078,SW will set by default CNViO3 frequency to 9.6 GHz,Insufficient Root-Cause Detail
WIFI-730512,WIFI,Connectivity,0.22584892123087796,"with LPI enabled , if mcc change happens from vlp enabled country to disabled , FW as not able to turn off vlp",Firmware Config / Parameter / Tuning
WIFI-724493,WIFI,Connectivity,0.4818003459851681,DCR-3341,Insufficient Root-Cause Detail
WIFI-723912,WIFI,Connectivity,0.1861201148474529,Update of statistics datapoint ccaDefers,Insufficient Root-Cause Detail
WIFI-719076,WIFI,YB/Lost,0.1585947781205969,"One of the CNVI HSIF timeout timers was not configured correctly to support worst case Channel/Package propagation time.
",Firmware Config / Parameter / Tuning
WIFI-718655,WIFI,Connectivity,0.11084274673203495,Wrong PIE recommendation for 23.165.,Insufficient Root-Cause Detail
WIFI-715726,WIFI,Connectivity,0.16728811971577046,DCR-3341,Insufficient Root-Cause Detail
